name,bic,model_name,modelm
PF02984,62181.488,mtMet+F+I+G4,2
PF02984,62999.054,mtART+F+I+G4,3
PF02984,64176.65,mtZOA+F+I,4
PF02984,68399.526,mtMAM+I,5
PF04043,77883.199,VT+I+G4,1
PF04043,78828.289,DCMut+G4,2
PF04043,79653.756,JTTDCMut+F,3
PF04043,81282.033,mtZOA+G4,4
PF04043,86801.946,mtMAM,5
PF07228,125964.383,LG+F+G4,1
PF07228,128038.411,mtREV+F+G4,2
PF07228,130205.861,mtMAM+F+I+G4,3
PF07228,134229.822,mtMet+F+I,4
PF07228,145053.398,mtART+I,5
PF00856,70208.427,VT+G4,1
PF00856,71382.703,PMB,2
PF00856,72047.402,HIVb+I+G4,3
PF00856,73816.363,mtZOA+F+I,4
PF00856,78368.169,mtMAM+I,5
PF05239,39472.821,LG+G4,1
PF05239,39888.622,Blosum62+F,2
PF05239,40373.743,FLU+F+I+G4,3
PF05239,41461.293,mtMAM+F+I+G4,4
PF05239,44645.564,mtMAM+I,5
PF07662,33368.193,LG+I+G4,1
PF07662,33927.846,Dayhoff+F+G4,2
PF07662,34796.674,Blosum62,3
PF07662,35501.132,mtInv+F,4
PF07662,38148.702,mtMAM,5
PF02225,57467.412,VT+G4,1
PF02225,58416.803,PMB+F,2
PF02225,59187.679,JTT+F,3
PF02225,60435.916,HIVb+I,4
PF02225,64478.844,mtMAM+I,5
PF07686,55123.576,WAG+F+G4,1
PF07686,55798.211,rtREV+G4,2
PF07686,56393.059,DCMut+F,3
PF07686,57267.184,HIVw+I+G4,4
PF07686,61213.733,mtART+I,5
PF04385,21763.508,VT+F+G4,1
PF04385,21991.066,cpREV+F,2
PF04385,22131.105,JTTDCMut+I,3
PF04385,22480.49,mtZOA+F+I,4
PF04385,23676.951,mtMAM+I,5
PF01523,31876.631,PMB+I+G4,1
PF01523,32264.097,VT,2
PF01523,32612.907,mtART+F+I+G4,3
PF01523,33268.813,HIVw+F+G4,4
PF01523,35156.979,mtMAM,5
PF03610,16509.543,LG+I+G4,1
PF03610,16872.79,cpREV+I,2
PF03610,17086.205,FLU+F+G4,3
PF03610,17499.865,mtMet+I+G4,4
PF03610,18616.659,mtMAM,5
PF01909,53856.527,Blosum62+F+G4,1
PF01909,54699.724,JTT+I+G4,2
PF01909,55626.977,WAG+I,3
PF01909,56904.266,Dayhoff+I,4
PF01909,60354.633,mtMAM+I,5
PF00622,38412.852,VT+F+I+G4,1
PF00622,38875.552,WAG+I,2
PF00622,39162.628,LG+I,3
PF00622,40006.442,mtZOA+I+G4,4
PF00622,42673.991,mtMAM,5
PF01486,19673.775,LG+G4,1
PF01486,20193.436,mtInv+F+G4,2
PF01486,20479.793,rtREV+F,3
PF01486,20850.006,PMB+F,4
PF01486,21650.828,mtMAM,5
PF01814,72358.223,LG+G4,1
PF01814,73556.654,mtZOA+F+G4,2
PF01814,74532.364,FLU+I+G4,3
PF01814,76421.548,mtART+F+I,4
PF01814,81406.997,mtMAM+I,5
PF03364,56334.981,LG+F+G4,1
PF03364,56955.569,DCMut+F+I+G4,2
PF03364,57555.788,JTT+I,3
PF03364,58801.41,HIVw+F+I+G4,4
PF03364,63660.756,mtMAM+I,5
PF00787,41116.116,VT+F+G4,1
PF00787,41595.73,mtZOA+F+G4,2
PF00787,42046.885,LG+F,3
PF00787,42899.95,HIVb+F+I,4
PF00787,45525.532,mtMAM+I,5
PF02826,117780.291,LG+G4,1
PF02826,120540.593,DCMut+F+G4,2
PF02826,122715.05,mtVer+F+G4,3
PF02826,126608.409,mtInv+I+G4,4
PF02826,138243.694,mtMAM+I,5
PF03065,35834.631,VT+F+G4,1
PF03065,36078.551,PMB,2
PF03065,36428.817,FLU+I+G4,3
PF03065,37019.257,HIVw+F+I+G4,4
PF03065,39413.591,mtMAM+I,5
PF00665,151566.989,PMB+G4,1
PF00665,154174.21,Blosum62+F,2
PF00665,157035.002,JTTDCMut+F,3
PF00665,160819.057,HIVw+F+I+G4,4
PF00665,170853.445,mtMAM+I,5
PF06458,47248.043,WAG+F+I+G4,1
PF06458,48334.03,LG+F+I,2
PF06458,48977.089,Dayhoff+I,3
PF06458,50592.123,mtMet+F,4
PF06458,56063.249,mtMAM+I,5
PF01521,11039.209,LG+G4,1
PF01521,11299.865,FLU+F+G4,2
PF01521,11586.799,rtREV,3
PF01521,11807.218,mtVer+I+G4,4
PF01521,12888.777,mtMAM+I,5
PF00479,61825.996,LG+I+G4,1
PF00479,62980.575,Dayhoff+F+G4,2
PF00479,65708.371,mtREV+G4,3
PF00479,66972.622,mtMAM+I+G4,4
PF00479,75042.902,mtMAM,5
PF07992,118099.462,LG+I+G4,1
PF07992,120267.448,WAG+I,2
PF07992,121743.597,mtMet+F+G4,3
PF07992,125973.864,HIVw+F+G4,4
PF07992,135837.984,mtMAM,5
PF00188,140702.493,WAG+G4,1
PF00188,142898.394,DCMut+G4,2
PF00188,146657.822,JTTDCMut,3
PF00188,149341.226,HIVw+I+G4,4
PF00188,161011.968,mtMAM+I,5
PF00912,67071.469,LG+I+G4,1
PF00912,68290.312,DCMut+F+G4,2
PF00912,70501.261,mtREV+G4,3
PF00912,71934.596,DCMut+I,4
PF00912,77804.369,mtMAM,5
PF03958,76745.975,LG+F+G4,1
PF03958,77930.855,FLU+F+G4,2
PF03958,78984.399,HIVb+I+G4,3
PF03958,80579.284,FLU,4
PF03958,87710.321,mtMAM+I,5
PF07738,14239.065,LG+G4,1
PF07738,14448.804,FLU+F+G4,2
PF07738,14637.008,JTT,3
PF07738,14947.712,HIVb+F+I,4
PF07738,16029.864,mtMAM+I,5
PF03793,61146.261,WAG+F+G4,1
PF03793,62169.58,DCMut+I+G4,2
PF03793,62959.868,rtREV,3
PF03793,64856.298,mtZOA+F+I,4
PF03793,70395.044,mtMAM+I,5
PF00254,55059.007,WAG+G4,1
PF00254,55999.211,JTT+F+G4,2
PF00254,57175.361,Dayhoff,3
PF00254,59099.204,mtZOA+I+G4,4
PF00254,64605.461,mtMAM+I,5
PF00579,40593.199,LG+G4,1
PF00579,41297.182,Dayhoff+F+G4,2
PF00579,42009.278,mtART+F+G4,3
PF00579,43194.057,HIVb+I,4
PF00579,46415.048,mtMAM,5
PF04776,8998.471,VT+G4,1
PF04776,9154.242,PMB+I,2
PF04776,9248.048,rtREV+I,3
PF04776,9419.32,mtMet+F+I,4
PF04776,10190.17,mtART,5
PF01155,13119.964,LG+I+G4,1
PF01155,13405.978,Dayhoff+F+I+G4,2
PF01155,13602.932,HIVb+F+I+G4,3
PF01155,14078.754,mtMet+F+I,4
PF01155,15610.136,mtMAM,5
PF00953,16560.67,LG+F+I+G4,1
PF00953,16805.36,VT+I+G4,2
PF00953,17043.456,DCMut+F+I,3
PF00953,17288.858,WAG,4
PF00953,18680.929,HIVw,5
PF00916,39417.496,LG+F+G4,1
PF00916,40034.457,JTT+I+G4,2
PF00916,40536.384,WAG+I,3
PF00916,41305.89,FLU+F,4
PF00916,43504.369,HIVw,5
PF01678,11720.207,WAG+G4,1
PF01678,11957.146,WAG+I,2
PF01678,12159.65,rtREV+F,3
PF01678,12515.023,mtREV+I+G4,4
PF01678,13506.124,mtMAM+I,5
PF01464,18431.307,Blosum62+F+I+G4,1
PF01464,18718.26,JTTDCMut+G4,2
PF01464,19033.4,rtREV+I,3
PF01464,19535.971,Dayhoff,4
PF01464,21078.747,mtMAM,5
PF03797,229488.681,LG+F+G4,1
PF03797,231956.321,Blosum62+F,2
PF03797,234085.589,Dayhoff+G4,3
PF03797,237439.092,mtVer+F+I,4
PF03797,249224.436,mtMAM+I,5
PF00389,50159.043,LG+G4,1
PF00389,51179.156,DCMut+F+I+G4,2
PF00389,51912.897,HIVb+I+G4,3
PF00389,53553.104,HIVb+I,4
PF00389,58044.527,mtMAM+I,5
PF00168,125615.711,LG+F+G4,1
PF00168,127599.863,Dayhoff+F+I+G4,2
PF00168,129282.439,cpREV+I,3
PF00168,132372.774,HIVb+F+I,4
PF00168,142873.139,mtMAM+I,5
PF00501,653490.532,VT+F+G4,1
PF00501,665422.712,DCMut+G4,2
PF00501,679652.714,LG,3
PF00501,700155.837,mtInv+I+G4,4
PF00501,753548.407,mtMAM+I,5
PF00208,82532.97,LG+I+G4,1
PF00208,84626.99,DCMut+F+G4,2
PF00208,86791.282,rtREV+I,3
PF00208,90012.686,mtREV+F,4
PF00208,100165.662,mtMAM,5
PF00109,123628.55,LG+F+G4,1
PF00109,125930.034,DCMut+F+G4,2
PF00109,128348.938,HIVb+F+I+G4,3
PF00109,132397.7,HIVb+F+I,4
PF00109,142587.722,mtMAM+I,5
PF00977,95173.37,LG+G4,1
PF00977,98278.736,mtInv+F+G4,2
PF00977,100453.844,rtREV+I,3
PF00977,103461.891,mtREV+F,4
PF00977,115097.665,mtMAM,5
PF00270,127784.814,LG+I+G4,1
PF00270,130477.149,DCMut+F+G4,2
PF00270,133490.654,LG+F+I,3
PF00270,136499.438,mtVer+G4,4
PF00270,148167.494,mtMAM,5
PF00328,144291.412,VT+I+G4,1
PF00328,146373.923,DCMut+I+G4,2
PF00328,148311.445,Dayhoff+F+I,3
PF00328,151857.454,mtZOA+G4,4
PF00328,161460.9,mtMAM,5
PF03947,23546.725,PMB+I+G4,1
PF03947,24098.871,mtART+F+G4,2
PF03947,24529.877,cpREV+F+I,3
PF03947,25164.642,Dayhoff+F,4
PF03947,27132.424,mtMAM,5
PF00237,7704.502,LG+G4,1
PF00237,7851.514,JTTDCMut+F+G4,2
PF00237,7970.593,LG+F+I,3
PF00237,8147.229,HIVw+F+I+G4,4
PF00237,8775.168,mtMAM,5
PF06426,8848.54,LG+G4,1
PF06426,9024.472,DCMut+F+G4,2
PF06426,9180.708,mtMAM+F+G4,3
PF06426,9357.45,mtMet+I+G4,4
PF06426,10109.62,mtMAM,5
PF00173,43311.249,LG+G4,1
PF00173,44256.85,Dayhoff+F+G4,2
PF00173,44827.142,mtMet+F+I+G4,3
PF00173,46115.342,mtMet+I+G4,4
PF00173,49415.682,mtMAM+I,5
PF02470,44061.549,LG+I+G4,1
PF02470,44805.554,Dayhoff+I+G4,2
PF02470,45309.139,rtREV+F,3
PF02470,46601.191,mtInv+F+I,4
PF02470,51095.012,mtMAM,5
PF03734,20592.956,WAG+G4,1
PF03734,20919.16,PMB,2
PF03734,21321.493,JTTDCMut,3
PF03734,22029.582,mtZOA+I+G4,4
PF03734,24051.265,mtMAM,5
PF02734,40366.251,LG+I+G4,1
PF02734,41124.19,mtInv+F+I+G4,2
PF02734,42327.967,Blosum62,3
PF02734,43531.762,FLU+F+I,4
PF02734,47975.441,mtMAM,5
PF03061,49382.276,LG+G4,1
PF03061,50219.29,PMB+F,2
PF03061,50886.322,HIVb+F+G4,3
PF03061,52125.228,mtZOA+F+I,4
PF03061,56061.068,mtMAM+I,5
PF06969,43495.683,LG+I+G4,1
PF06969,44270.98,DCMut+G4,2
PF06969,45013.969,cpREV,3
PF06969,46359.992,FLU,4
PF06969,50312.68,mtART,5
PF00482,169763.287,LG+F+G4,1
PF00482,172573.07,Dayhoff+F+G4,2
PF00482,174243.569,JTT+F+I,3
PF00482,177729.664,FLU+I,4
PF00482,188654.799,mtMAM+I,5
PF01546,237898.906,LG+I+G4,1
PF01546,243277.437,mtInv+F+I+G4,2
PF01546,247368.332,HIVb+I+G4,3
PF01546,255215.618,FLU+I,4
PF01546,275432.41,mtMAM,5
PF01602,67725.359,LG+F+G4,1
PF01602,68488.489,JTTDCMut+G4,2
PF01602,69089.554,Dayhoff+F,3
PF01602,70626.206,FLU+I,4
PF01602,74817.63,mtMAM+I,5
PF00112,98053.911,WAG+G4,1
PF00112,99978.249,JTT+F+I+G4,2
PF00112,103747.048,mtVer+F+G4,3
PF00112,105462.159,FLU,4
PF00112,116209.799,mtMAM,5
PF07703,41354.144,WAG+G4,1
PF07703,41819.601,FLU+F+G4,2
PF07703,42361.908,cpREV+I,3
PF07703,43485.736,mtMet+F+I,4
PF07703,47235.733,mtMAM+I,5
PF03710,16474.575,LG+F+I+G4,1
PF03710,16770.161,mtZOA+F+I+G4,2
PF03710,17003.685,Dayhoff+F+I,3
PF03710,17596.832,mtREV+I+G4,4
PF03710,19154.899,mtMAM,5
